question,A,B,C,D,correct
"The Judge is flipping through documents on the case, a troubled frown on his face. At last, he",goes to the bed and faces someone.,pumps his pockets with his hands.,pulls his sleeve up to his chest.,shuts the folder and nods to the clerk.,D
"The three sisters all have the same hair color. The eldest sister has blond hair, and the youngest sister",has no hair.,has black hair.,has blond hair.,has red hair.,C
The girl encounters a raccoon in her house. She,forgot to take her makeup off last night.,calls animal control.,feeds it some cat food.,introduces it to her cat.,B
The pup's sitting excitedly on the passenger seat. Someone,draws out his cell.,tries to grab the book then cowers as a man crashes and tumbles in the ground.,watches as he paws at the upholstery.,slams down his glass.,C
It's been raining all week. Ellie,is collecting each raindrop.,took all the rain so she can drink it.,has been swimming in her driveway because there's so much rain.,doesn't need to water her plants.,D
A professor is at a post office. The professor,holds several meetings with his colleagues.,orders a cup of coffee.,holds office hours with his students.,sends out a few letters.,D
Monica and Rachel are deciding where to meet. They,are discussing their schedules,were both born in Chicago,are planning to go on a trip to Italy,love to have coffee,A
The university ran out of money. It,decided not to have an ice skating rink.,can't pay for dinner.,spent all its money on a new car.,put its money in a piggy bank.,A
"The heating in my room doesn't work, so I",feel very cold.,am in a high mood.,open my computer.,go to sleep.,A
I went the extra mile for that project and still did poorly. I,enjoy running.,am out of gas.,should talk to my teacher to see what I did wrong.,am really tired.,C
I type on my computer. I,slam a textbook on the keyboard.,write on the computer screen.,write out an email.,put the keyboard on the table.,C
Today is Saturday and John watches TV every Saturday. He,"goes to the bar for happy hour, but does not watch TV.",goes to the TV station.,watches TV.,goes to the club.,C
Scott is an alleged bank robber. He has,certainly committed a crime.,not yet been tried.,been found guilty.,been found innocent.,B
The man puts on his jacket. The man,is looking for food in his fridge.,pets his dog.,is trying not to freeze.,is playing frisbee with his mouth.,C
The medical team inside the surgery room and getting ready to operate on the patient. The patient,is lying motionlessly on the operating table.,calmly watches a nurse as she starts drawing his blood.,waits for the nurse to come.,is washing his hand before returning to his room.,A
He dribbles the basketball carelessly. An opposing player,trips and falls.,steals the ball.,tackles him.,dives.,B
Tom knew that juggling was not for him. Tom,juggled frequently at a local circus.,is the best at juggling in the world.,quit juggling and did something else.,had three lovers.,C
The papers on Sam's desk kept flying off the desk from the desk fan. He,opened the window.,held the papers in place with a forklift.,threw a paperweight at the fan.,turned off the fan.,D
I am a student studying journalism at Northwestern University. I,can't wait to buy a new house.,will find that the steak is too raw.,am going to take a class on nuclear physics.,write an article for a course,D
A person goes to a police station after getting mugged. The person,interrogates criminals.,files a complaint with the police.,cooks dinner.,flees the scene of the crime.,B
Wilson hates shrimps and he has seafood allergy. Wilson,eat shrimps everyday,likes eat crab,get up early,likes beef,D
Dean Martin’s daughter says she will continue to sing ‘Baby It’s Cold Outside’ after song was pulled from Ohio station. Martin's daughter,are deterministic.,continue to sing the controversial song.,are pulled from Ohio station after she sing a controversial song.,are a controversial good singer.,B
I can't believe that his fish,went fishing yesterday.,outgrew the tank again.,fed the dog.,once was a whale.,B
"A company produced a smart camera which can take picture automatically, the camera",let its owner to determine what is the best time to take picture,used AI technology to determine what is the best time to take picture,used magic power to determine what is the best time to take picture,used electronic to determine what is the best time to take picture,B
The wheels of the airplane hit the ground with a jolt. The captain,sings a song,"says, “welcome to Atlanta”",has landed the plane,dies in the collision,C
You want to skydive sometime. You should,skydive at home because you want to,dream of skydiving,jump off a tower to skydive right away,schedule a day to go skydiving and figure out where you can,D
A painter picks up their paintbrush. They,"set up their canvas, which is shaped like a four-dimensional paintbrush.","mix their paints, walk outside, and throw their paintbrush.","visit the art museum, eat a burrito, and step on their paintbrush",imagine their next masterpiece.,D
A loving couple is kissing each other. The girl,is eating happily,holds the boy's hands,becomes zombie,hugs the tree,B
A man is buying a banana at the market. He,looks for his credit card.,reads a newspaper.,gives the cashier ten million dollars.,grows a banana tree from his ears.,A
Ellie goes to the mall. Ellie,goes to the mall with dead Abe Lincoln.,rides her dog to the mall.,counts to 50.,buys a bag.,D
"Jerome asked me to stop pouring honey on his pancakes, because",Thanksgiving is Jerome's favorite holiday.,honey is illegal.,he does not want honey on his pancakes.,he loves honey on his pancakes.,C
The magician was ready to reveal their next illusion. The magician,through a series of events made an audience member vanish.,read out loud peoples credit card info.,knew that no one would care what they did.,gazed upon the flowers on their suit.,A
Cricket is played with balls and bats. If you have bat and ball then,we can go for a game.,we can go to the library for playing cricket.,we can not play cricket.,we can go for dinner.,A
A professor goes up to the board. The professor,jumps up and down.,draws a graph.,kicks his student.,yells at the board.,B
I only go to the cinema once in a while. I,do not go at all,see cinema once in a blue moon,go to nearby theatre everyday,go everyday with friends,B
A kingfisher eyes a fish in the river. The kingfisher,dives into the water.,hates fish.,plays chess with the fish.,swims in the water with the fish.,A
The boy is learning how to rock climb. He,wins the national bouldering competition using only his feet.,free solos a large climb in Yosemite.,freezes because he is scared of heights.,falls off the wall and is caught by a bird.,C
The pipe is jammed. Kelly,prefers peanut butter to jam.,bought another jar of jam.,could not shower.,smeared jam onto the pipe.,C
